"spkid","pha","H","e","a","q","i","moid","class","om","ad","per_y","epoch"
20341816,N,17.55,0.3217,1.87,1.269,31.84,0.498,AMO,132.83,2.47,2.56,2460200.5
20341843,Y,20.07,0.0835,0.9584,0.878,7.44,0.0129,ATE,93.36,1.04,0.938,2460200.5
20342866,Y,20.24,0.5954,1.537,0.622,3.41,0.0063,APO,232.57,2.45,1.91,2460200.5
20343098,N,18.66,0.2751,1.615,1.171,19.93,0.193,AMO,116.99,2.06,2.05,2460200.5
20343158,N,16.27,0.8066,2.527,0.489,154.35,0.148,APO,295.48,4.57,4.02,2460200.5
20343166,N,17.46,0.6636,2.004,0.674,29.49,0.148,APO,194.65,3.33,2.84,2460200.5
20344074,N,19.01,0.4748,0.83,0.436,25.49,0.223,ATE,42.39,1.22,0.756,2460200.5
20344076,Y,18.95,0.7462,1.986,0.504,6.56,0.0111,APO,223.56,3.47,2.8,2460200.5
20344133,N,18.66,0.4233,2.214,1.276,30.05,0.318,AMO,112.77,3.15,3.29,2460200.5
20344143,N,18.39,0.4847,2.465,1.270,7.76,0.269,AMO,54.68,3.66,3.87,2460200.5
20344756,N,20.81,0.1005,1.315,1.183,7.12,0.214,AMO,268.61,1.45,1.51,2460200.5
20345646,N,19.74,0.3452,1.561,1.022,17.28,0.0965,AMO,24.30,2.10,1.95,2460200.5
20345705,N,18.59,0.4212,0.767,0.444,31.03,0.0778,ATE,258.71,1.09,0.672,2460200.5
20345722,N,18.27,0.3347,0.8326,0.554,18.51,0.088,ATE,60.96,1.11,0.76,2460200.5
20345813,N,17.80,0.3319,1.317,0.880,56.56,0.105,APO,41.67,1.75,1.51,2460200.5
20345853,N,16.31,0.5508,2.829,1.271,13.78,0.283,AMO,207.84,4.39,4.76,2460200.5
20347634,N,19.65,0.5544,1.122,0.500,24.47,0.229,APO,191.23,1.74,1.19,2460200.5
20347813,N,17.74,0.1653,1.248,1.042,19.12,0.0798,AMO,315.04,1.45,1.39,2460200.5
20348304,N,18.01,0.3349,1.935,1.287,39.83,0.391,AMO,121.42,2.58,2.69,2460200.5
